Mvskoke	Cecket vce ocet ont owa?	Does your mother have corn?
Mvskoke	Naken cecke hayet ont owa?	What does your mother make?
Mvskoke	Mary cvhocefkv tos.	My name is Mary.
Mvskoke	Vm estvlke Kaccvlke tos.	I am Tiger clan.
Mvskoke	Owv esketv cvyacēs.	I want to drink water.
Mvskoke	Yv likat mēkken omat hę̄rēs.	This one sitting here would be a good king.
Mvskoke	Momen ohlikē emonken vholocē hahket oskvtēs.	While he was sitting there, it grew cloudy and rained.
Mvskoke	Vnnvkvftaks	Meet with me
Mvskoke	Naket vcakkes cē!	Something bit me!
Chahta	Dallas, Texas, ʋt oka mahli pila yo̱?	Is Dallas, Texas toward the south?
Chahta	Ninakash ilefoka achefa li tuk.	I washed clothes last night.
Chahta	A̱, ninak toksʋli li.	Yes, I work nights.
Chahta	Hattak mʋt chi tobli tuk o̱?	Did that man push you?
Chahta	Kapassa chi̱.	It will be cold.
Chahta	Taloa achukmali kʋt is sʋ shahlichi.	You sing better than I do. 
Chahta	Nittak makinli ho ia tuk.	He went the same day.
Chahta	Kʋta hosh chi pisʋt ayachi?	Who is going to visit you?
Chahta	Ak impo.	I haven’t eaten.
Chahta	Katimi ho̱ ish mihchi tuk?	Why did you do it?
